PModel,Task,OpType,Opt,InsCount,Timer,Time,LNum,AvTime,AbsErr,RelErr,TaskPerf
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,6.229e-08,0,6.49644e-08,2.67437e-09,0.0411668,1.60539e+07
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,6.655e-08,1,6.49644e-08,1.58563e-09,0.0244076,1.50263e+07
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,7.349e-08,2,6.49644e-08,8.52563e-09,0.131235,1.36073e+07
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,6.651e-08,3,6.49644e-08,1.54562e-09,0.0237919,1.50353e+07
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,6.641e-08,4,6.49644e-08,1.44563e-09,0.0222526,1.5058e+07
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,6.161e-08,5,6.49644e-08,3.35438e-09,0.0516341,1.62311e+07
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,7.736e-08,6,6.49644e-08,1.23956e-08,0.190806,1.29266e+07
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,6.681e-08,7,6.49644e-08,1.84563e-09,0.0284098,1.49678e+07
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,7.421e-08,8,6.49644e-08,9.24563e-09,0.142318,1.34753e+07
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,6.648e-08,9,6.49644e-08,1.51563e-09,0.0233301,1.50421e+07
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,6.698e-08,10,6.49644e-08,2.01563e-09,0.0310266,1.49298e+07
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,6.513e-08,11,6.49644e-08,1.65625e-10,0.00254947,1.53539e+07
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,5.964e-08,12,6.49644e-08,5.32437e-09,0.0819584,1.67673e+07
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,6.29e-08,13,6.49644e-08,2.06437e-09,0.031777,1.58983e+07
AMD Ryzen 3600,pow_f32,f32,O3,9,high_resolution_clock,6.285e-08,14,6.49644e-08,2.11437e-09,0.0325467,1.59109e+07
