MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError (write);RelError (write);ReadTime;AverageReadTime;ReadBandwidth;AbsError (read);RelError (read)
RAM;64;uint8_t;64;1;high_resolution_clock;1e-07;1e-07;610.35156;0;0;1e-07;1e-07;610.35156;0;0
RAM;64;uint8_t;64;2;high_resolution_clock;0;5e-08;1220.7031;5e-08;1;0;5e-08;1220.7031;5e-08;1
RAM;64;uint8_t;64;3;high_resolution_clock;1e-07;6.6666667e-08;915.52734;3.3333333e-08;0.5;1e-07;6.6666667e-08;915.52734;3.3333333e-08;0.5
RAM;64;uint8_t;64;4;high_resolution_clock;0;5e-08;1220.7031;5e-08;1;1e-07;7.5e-08;813.80208;2.5e-08;0.33333333
RAM;16384;uint8_t;256;1;high_resolution_clock;5e-07;5e-07;31250;0;0;4e-07;4e-07;39062.5;0;0
RAM;16384;uint8_t;256;2;high_resolution_clock;4e-07;4.5e-07;34722.222;5e-08;0.11111111;5e-07;4.5e-07;34722.222;5e-08;0.11111111
RAM;16384;uint8_t;256;3;high_resolution_clock;3e-07;4e-07;39062.5;1e-07;0.25;4e-07;4.3333333e-07;36057.692;3.3333333e-08;0.076923077
RAM;16384;uint8_t;256;4;high_resolution_clock;4e-07;4e-07;39062.5;0;0;4e-07;4.25e-07;36764.706;2.5e-08;0.058823529
RAM;32768;uint8_t;256;1;high_resolution_clock;9e-07;9e-07;34722.222;0;0;8e-07;8e-07;39062.5;0;0
RAM;32768;uint8_t;256;2;high_resolution_clock;8e-07;8.5e-07;36764.706;5e-08;0.058823529;7e-07;7.5e-07;41666.667;5e-08;0.066666667
RAM;32768;uint8_t;256;3;high_resolution_clock;8e-07;8.3333333e-07;37500;3.3333333e-08;0.04;7e-07;7.3333333e-07;42613.636;3.3333333e-08;0.045454545
RAM;32768;uint8_t;256;4;high_resolution_clock;8e-07;8.25e-07;37878.788;2.5e-08;0.03030303;7e-07;7.25e-07;43103.448;2.5e-08;0.034482759
RAM;524288;uint8_t;256;1;high_resolution_clock;1.08e-05;1.08e-05;46296.296;0;0;1.04e-05;1.04e-05;48076.923;0;0
RAM;524288;uint8_t;256;2;high_resolution_clock;1.2e-05;1.14e-05;43859.649;6e-07;0.052631579;1.05e-05;1.045e-05;47846.89;5e-08;0.004784689
RAM;524288;uint8_t;256;3;high_resolution_clock;2.55e-05;1.61e-05;31055.901;9.4e-06;0.58385093;1.03e-05;1.04e-05;48076.923;1e-07;0.0096153846
RAM;524288;uint8_t;256;4;high_resolution_clock;1.19e-05;1.505e-05;33222.591;3.15e-06;0.20930233;1.05e-05;1.0425e-05;47961.631;7.5e-08;0.0071942446
RAM;16777216;uint8_t;256;1;high_resolution_clock;0.0010527;0.0010527;15199.012;0;0;0.0009893;0.0009893;16173.052;0;0
RAM;16777216;uint8_t;256;2;high_resolution_clock;0.0008051;0.0009289;17224.674;0.0001238;0.13327592;0.0009996;0.00099445;16089.296;5.15e-06;0.005178742
RAM;16777216;uint8_t;256;3;high_resolution_clock;0.0008999;0.00091923333;17405.809;1.9333333e-05;0.021032019;0.0007792;0.0009227;17340.414;0.0001435;0.15552184
RAM;16777216;uint8_t;256;4;high_resolution_clock;0.0006443;0.0008505;18812.463;0.0002062;0.24244562;0.0006672;0.000858825;18630.105;0.000191625;0.22312462
RAM;134217728;uint8_t;256;1;high_resolution_clock;0.0088917;0.0088917;14395.447;0;0;0.0062283;0.0062283;20551.354;0;0
RAM;134217728;uint8_t;256;2;high_resolution_clock;0.008575;0.00873335;14656.461;0.00015835;0.018131645;0.0062256;0.00622695;20555.81;1.35e-06;0.00021679956
RAM;134217728;uint8_t;256;3;high_resolution_clock;0.0085475;0.0086714;14761.169;0.0001239;0.01428835;0.0063707;0.0062748667;20398.84;9.5833333e-05;0.015272569
RAM;134217728;uint8_t;256;4;high_resolution_clock;0.0086281;0.008660575;14779.619;3.2475e-05;0.003749751;0.0068796;0.00642605;19918.924;0.00045355;0.070579905
SSD;4194304;uint8_t;4194304;1;high_resolution_clock;0.0014342;0.0014342;2789.0113;0;0;0.0004391;0.0004391;9109.5422;0;0
SSD;8388608;uint8_t;8388608;1;high_resolution_clock;0.0027211;0.0027211;2939.9875;0;0;0.0014033;0.0014033;5700.848;0;0
SSD;12582912;uint8_t;12582912;1;high_resolution_clock;0.0044441;0.0044441;2700.2093;0;0;0.0026767;0.0026767;4483.1322;0;0
SSD;16777216;uint8_t;16777216;1;high_resolution_clock;0.0052771;0.0052771;3031.9683;0;0;0.0030514;0.0030514;5243.4948;0;0
SSD;20971520;uint8_t;20971520;1;high_resolution_clock;0.0089895;0.0089895;2224.8178;0;0;0.0041303;0.0041303;4842.2633;0;0
SSD;25165824;uint8_t;25165824;1;high_resolution_clock;0.0121885;0.0121885;1969.0692;0;0;0.0052443;0.0052443;4576.3972;0;0
SSD;29360128;uint8_t;29360128;1;high_resolution_clock;0.0151227;0.0151227;1851.5212;0;0;0.0058455;0.0058455;4790.0094;0;0
SSD;33554432;uint8_t;33554432;1;high_resolution_clock;0.0186767;0.0186767;1713.3648;0;0;0.0063129;0.0063129;5068.9857;0;0
