type; dimentions; time
1; 64;  6.03e-05
1; 64;  6e-05
1; 128;  0.0004915
1; 128;  0.0004836
1; 256;  0.0042283
1; 256;  0.0042116
1; 512;  0.0184124
1; 512;  0.0202477
1; 1024;  0.145228
1; 1024;  0.167495
1; 2048;  2.83683
1; 2048;  3.10319
1; 4096;  23.0416
1; 4096;  25.3616
1; 8192;  206.302
2; 64;  0.000887
2; 64;  0.0008438
2; 128;  0.0009503
2; 128;  0.0009628
2; 256;  0.0014563
2; 256;  0.0012131
2; 512;  0.005362
2; 512;  0.0050092
2; 1024;  0.0396004
2; 1024;  0.0306964
2; 2048;  0.717024
2; 2048;  0.642459
2; 4096;  11.1175
2; 4096;  9.75025
2; 8192;  106.946
3; 64;  0.0018834
3; 64;  0.0023083
3; 128;  0.0018685
3; 128;  0.0019483
3; 256;  0.0032989
3; 256;  0.0031751
3; 512;  0.018782
3; 512;  0.0181357
3; 1024;  0.107427
3; 1024;  0.106416
3; 2048;  1.02901
3; 2048;  0.914067
3; 4096;  11.6162
3; 4096;  11.3064
3; 8192;  107.788
4; 64;  0.0006641
4; 64;  0.0006685
4; 128;  0.0007303
4; 128;  0.0007074
4; 256;  0.0010923
4; 256;  0.001443
4; 512;  0.0043466
4; 512;  0.0041295
4; 1024;  0.0300043
4; 1024;  0.022199
4; 2048;  0.729791
4; 2048;  0.674436
4; 4096;  10.5252
4; 4096;  10.2127
4; 8192;  108.68
